feed_url	site_name	lang	feed_kind	title	item_url	published
	SERMON	KO	YOUTUBE	출애굽기 29장 19-34절  귀, 손, 발을 거룩하게 하라	https://www.youtube.com/watch?v=zMu_KNkmhcw	
	SERMON	KO	YOUTUBE	출애굽기 29:19-28｜제사장 위임식의 화목제｜김양재 목사	https://www.youtube.com/watch?v=QYIwDAuCKWM	
	SERMON	KO	YOUTUBE	출애굽기29:1-18-옷을 입히고 기름을 붓다	https://www.youtube.com/watch?v=XE2xaxU851M	
	SERMON	KO	YOUTUBE	출애굽기 29:1-25	https://www.youtube.com/watch?v=Gi0qqz2rS84	
	SERMON	KO	YOUTUBE	출애굽기 28:31-43 / 섬세하신 하나님 (말씀: 손석구 박사)	https://www.youtube.com/watch?v=mdlxxQOZZis	
	SERMON	KO	YOUTUBE	출애굽기28:31-35	https://www.youtube.com/watch?v=DcoVylE15bc	
	SERMON	KO	YOUTUBE	출애굽기 28장 15~30절 [모든 결정의 주권자요 안내자이신 하나님]	https://www.youtube.com/watch?v=eGlRZGe_p7A	
	SERMON	KO	YOUTUBE	출애굽기 28장 15-43절 말읽목	https://www.youtube.com/watch?v=I2c4c1bz2KM	
	SERMON	KO	YOUTUBE	출애굽기 28장 15~43절	https://www.youtube.com/watch?v=jSKk0iESBrU	
	SERMON	KO	YOUTUBE	출애굽기 28장 6부 "제사장이 거룩한 속옷과 겉옷을 입는 이유?"	https://www.youtube.com/watch?v=P0c5mIPw698	
	SERMON	KO	YOUTUBE	출애굽기 28장 31~43절 [제사장이 갖출 복식, 가장 안전한 섬김]	https://www.youtube.com/watch?v=QDutmslE_Zs	
	SERMON	KO	YOUTUBE	출애굽기 28장 1~14절 [성막 축소판 같은 대제사장의 의복]	https://www.youtube.com/watch?v=SKk_IXlbJTQ	
	SERMON	KO	YOUTUBE	출애굽기 28장 1~14절	https://www.youtube.com/watch?v=o9hqlPBDaZI	
	SERMON	KO	YOUTUBE	출애굽기 27장 1~8, 20~21절 안이 비어 있는 번제단을 기억하라	https://www.youtube.com/watch?v=H8VvU2ZXPLA	
	SERMON	KO	YOUTUBE	출애굽기 27장 20절 ~ 21절 등잔이 타오르도록	https://www.youtube.com/watch?v=hwt82RtyIf8	
	SERMON	KO	YOUTUBE	출애굽기 27장 1-21절 말읽목	https://www.youtube.com/watch?v=PfRL9C349WE	
	SERMON	KO	YOUTUBE	출애굽기 27장 1~8절 제단을 만들라	https://www.youtube.com/watch?v=_j4Gh30HRGs	
	SERMON	KO	YOUTUBE	출애굽기 27장 9~19절 성막의 뜰	https://www.youtube.com/watch?v=Qw6_a9ySBaU	
	SERMON	KO	YOUTUBE	출애굽기 27~29장 복잡했던 제사장의 옷을 깔끔하게 정리해드립니다	https://www.youtube.com/watch?v=6E8rZhoxW2A	
	SERMON	KO	YOUTUBE	출애굽기 27장 1-21절 | 누구나 예외없이 하나님의 심판을 통과해야 합니다!	https://www.youtube.com/watch?v=2dLoTifc-Q4	
	SERMON	KO	YOUTUBE	출애굽기 27장 1~21절	https://www.youtube.com/watch?v=A5chjteDx2U	
	SERMON	KO	YOUTUBE	[출애굽기21장~26장] 울타리법'십계명'|광야생활|3가지절기|하나님과언약|성막	https://www.youtube.com/watch?v=xulWUDBF6DU	
	SERMON	KO	YOUTUBE	출애굽기 26:1-14｜한 성막을 이룰지며｜김양재 목사	https://www.youtube.com/watch?v=YOGcx6_vajE	
	SERMON	KO	YOUTUBE	출애굽기 21:28-36｜삶의 작은 일에도｜김양재 목사	https://www.youtube.com/watch?v=IRKfwGPU0HI	
	SERMON	EN	YOUTUBE	Exodus 26:31-37 - The Veil of the Tabernacle	https://www.youtube.com/watch?v=UhUR198Tk-k	
	SERMON	KO	YOUTUBE	출애굽기 26장 1절-37절, 널판과 같은 성도	https://www.youtube.com/watch?v=6VM2mDF2UoE	
	SERMON	KO	YOUTUBE	출애굽기 31장 1~11절 하나님이 세우신 일꾼, 하나님이 붙이신 동역자	https://www.youtube.com/watch?v=WAt3c5EAeHc	
	SERMON	KO	YOUTUBE	출애굽기 26장 15-37절	https://www.youtube.com/watch?v=fTGTp1stshQ	
	SERMON	KO	YOUTUBE	출애굽기 26장 15~37절[만왕의 왕 하나님을 항상 존중하십시오	https://www.youtube.com/watch?v=-SMoecktZcY	
